lithiumfosfaat Li3PO4
ijzer(III)chloride FeCl3
natriumsulfaat Na2SO4
aluminiumhydroxide Al(OH)3
natriumchloride NaCl
natriumcarbonaat Na2CO3
calciumsulfaat CaSO4
calciumcarbonaat CaCO3
aluminiumoxide Al2O3
kaliumfosfaat K3PO4
ammoniumsulfiet (NH4)2SO3
uraan(VI)chloride UCl6
kwik(II)chloride HgCl2
aluminiumsulfaat Al2(SO4)3
kaliumchloride KCl
kaliumbromide KBr
kaliumjodide KI
kaliumfluoride KF
kaliumwaterstofsulfaat KHSO4
koper(II)sulfaat CuSO4
lood(II)nitraat Pb(NO3)2
lood(II)nitriet Pb(NO2)2
lood(IV)chloride PbCl4
natriumsulfide Na2S
natriumhydroxide NaOH
zinksulfaat ZnSO4
natriumnitriet NaNO2
natriumnitraat NaNO3
natriumthiosulfaat Na2S2O3
zilverchloride AgCl
zilveroxide Ag2O
bariumfluoride BaF2
koper(I)oxide Cu2O
mangaanhydroxide Mn(OH)2
ijzer(II)fosfaat Fe3(PO4)2
tin(II)oxide SnO
tin(IV)oxide SnO2
goud(III)oxide Au2O3
lithiumacetaat LiCH3COO
ammoniumacetaat NH4CH3COO
bariumacetaat Ba(CH3COO)2
titanium(IV)oxide TiO2
